Date/time,Humidity percent
2021-09-25 10:40:18.782056,48.48
2021-09-25 10:41:18.421929,49.38
2021-09-25 10:42:18.062192,48.94
2021-09-25 10:43:17.700408,49.62
2021-09-25 10:44:17.343239,49.23
2021-09-25 10:45:16.981885,49.15
2021-09-25 10:46:16.621073,49.0
2021-09-25 10:47:16.260713,48.28
2021-09-25 10:48:15.901565,49.01
2021-09-25 10:49:15.541987,48.73
2021-09-25 10:50:15.182905,49.14
2021-09-25 10:51:14.829287,48.73
2021-09-25 10:52:14.482887,48.73
2021-09-25 10:53:14.129391,48.84
2021-09-25 10:54:13.780928,49.19
2021-09-25 10:55:13.429716,49.2
2021-09-25 10:56:13.081862,49.19
2021-09-25 10:57:12.728739,49.14
2021-09-25 10:58:12.381525,49.22
2021-09-25 10:59:12.030421,49.23
2021-09-25 11:00:11.679213,49.25
2021-09-25 11:01:11.329857,49.22
2021-09-25 11:02:10.982337,49.27
2021-09-25 11:03:10.632438,48.86
2021-09-25 11:04:10.280046,49.18
2021-09-25 11:05:09.932529,49.35
2021-09-25 11:06:09.582908,49.29
2021-09-25 11:07:09.229866,49.21
2021-09-25 11:08:08.882913,50.02
2021-09-25 11:09:08.531354,49.21
2021-09-25 11:10:08.181158,49.31
2021-09-25 11:11:07.831614,49.39
2021-09-25 11:12:07.481717,49.61
2021-09-25 11:13:07.131743,49.19
2021-09-25 11:14:06.781843,49.21
2021-09-25 11:15:06.432448,49.17
2021-09-25 11:16:06.081429,49.14
2021-09-25 11:17:05.731866,49.24
2021-09-25 11:18:05.382686,49.16
2021-09-25 11:19:05.030372,49.64
2021-09-25 11:20:04.669006,49.48
2021-09-25 11:21:04.309043,49.29
2021-09-25 11:22:03.949506,50.21
2021-09-25 11:23:03.589160,48.13
2021-09-25 11:24:03.230828,48.51
2021-09-25 11:25:02.870262,49.28
2021-09-25 11:26:02.511344,49.27
2021-09-25 11:27:02.150711,49.61
2021-09-25 11:28:01.789405,49.44
2021-09-25 11:29:01.430988,49.47
2021-09-25 11:30:01.069990,49.81
2021-09-25 11:31:00.709285,48.55
2021-09-25 11:32:00.352158,49.35
2021-09-25 11:32:59.991517,49.24
2021-09-25 11:33:59.632790,50.06
2021-09-25 11:34:59.270942,50.12
2021-09-25 11:35:58.911315,49.48
2021-09-25 11:36:58.550974,51.67
2021-09-25 11:37:58.191875,49.92
2021-09-25 11:38:57.831366,49.4
2021-09-25 11:39:57.469617,49.69
2021-09-25 11:40:57.113231,49.59
2021-09-25 11:41:56.754195,49.23
2021-09-25 11:42:56.395400,49.36
2021-09-25 11:43:56.036672,50.41
2021-09-25 11:44:55.675667,49.47
2021-09-25 11:45:55.314393,50.74
2021-09-25 11:46:54.952163,49.56
2021-09-25 11:47:54.590333,49.54
2021-09-25 11:48:54.233143,49.43
2021-09-25 11:49:53.876204,49.61
2021-09-25 11:50:53.512956,49.55
2021-09-25 11:51:53.149995,49.52
2021-09-25 11:52:52.790588,49.31
2021-09-25 11:53:52.432716,49.78
2021-09-25 11:54:52.068692,51.29
2021-09-25 11:55:51.709740,49.48
